"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
429815,"NZ-0029","small_airport","Fox Glacier Aerodrome",-43.46111,170.01702,NA,"OC","NZ","NZ-WTC","Fox Glacier","no","","FGL","NZFO","","","https://en.wikipedia.org/wiki/Fox_Glacier_Aerodrome",""
5023,"NZAA","large_airport","Auckland International Airport",-37.01199,174.786331,23,"OC","NZ","NZ-AUK","Auckland","yes","NZAA","AKL","NZAA","","http://www.auckland-airport.co.nz/","https://en.wikipedia.org/wiki/Auckland_International_Airport",""
5024,"NZAP","medium_airport","Taupo Airport",-38.7397003173828,176.083999633789,1335,"OC","NZ","NZ-WKO","Taupo","yes","NZAP","TUO","NZAP","","","https://en.wikipedia.org/wiki/Taupo_Airport",""
5025,"NZAR","medium_airport","Ardmore Airport",-37.0297012329102,174.973007202148,111,"OC","NZ","NZ-AUK","Manurewa","no","NZAR","AMZ","NZAR","","http://www.nzar.co.nz/","https://en.wikipedia.org/wiki/Ardmore_Airport",""
29672,"NZAS","small_airport","Ashburton Airport",-43.903301,171.796997,302,"OC","NZ","NZ-CAN","Ashburton","no","NZAS","ASG","NZAS","","https://www.ashburtondc.govt.nz/community-facilities/ashburton-airport","https://en.wikipedia.org/wiki/Ashburton_Aerodrome",""
5026,"NZCH","large_airport","Christchurch International Airport",-43.489029,172.532065,123,"OC","NZ","NZ-CAN","Christchurch","yes","NZCH","CHC","NZCH","","http://www.christchurchairport.co.nz/","https://en.wikipedia.org/wiki/Christchurch_International_Airport",""
5027,"NZCI","medium_airport","Chatham Islands / Tuuta Airport",-43.81189,-176.46514,43,"OC","NZ","NZ-WGN","Te One","yes","NZCI","CHT","NZCI","","","https://en.wikipedia.org/wiki/Chatham_Islands_/_Tuuta_Airport","Karewa"
29804,"NZCX","small_airport","Coromandel Airport",-36.791698,175.509003,10,"OC","NZ","NZ-WKO","Coromandel","no","NZCX","CMV","NZCX","","","https://en.wikipedia.org/wiki/Coromandel_Aerodrome",""
29817,"NZDA","small_airport","Dargaville Aerodrome",-35.939701,173.893997,10,"OC","NZ","NZ-NTL","Dargaville","no","NZDA","DGR","NZDA","","","https://en.wikipedia.org/wiki/Dargaville_Aerodrome",""
5028,"NZDN","medium_airport","Dunedin International Airport",-45.928101,170.197998,4,"OC","NZ","NZ-OTA","Dunedin","yes","NZDN","DUD","NZDN","","http://www.dnairport.co.nz/","https://en.wikipedia.org/wiki/Dunedin_International_Airport",""
29877,"NZFJ","small_airport","Franz Josef Aerodrome",-43.3630981445312,170.134002685547,240,"OC","NZ","NZ-WTC","","no","","WHO","NZFJ","","","",""
29913,"NZGB","small_airport","Great Barrier Aerodrome",-36.2414016723633,175.47200012207,20,"OC","NZ","NZ-AUK","Claris","no","NZGB","GBZ","NZGB","","","https://en.wikipedia.org/wiki/Great_Barrier_Aerodrome",""
29917,"NZGM","small_airport","Greymouth Airport",-42.4617,171.190002,10,"OC","NZ","NZ-WTC","","no","NZGM","GMN","NZGM","","","https://en.wikipedia.org/wiki/Greymouth_Airport",""
5030,"NZGS","medium_airport","Gisborne Airport",-38.6633,177.977997,15,"OC","NZ","NZ-GIS","Gisborne","yes","NZGS","GIS","NZGS","","https://gisborneairport.nz/","https://en.wikipedia.org/wiki/Gisborne_Airport",""
5031,"NZGT","medium_airport","Glentanner Airport",-43.9067001342773,170.128005981445,1824,"OC","NZ","NZ-CAN","Glentanner Station","no","NZGT","GTN","NZGT","","","https://en.wikipedia.org/wiki/Glentanner_Aerodrome","Lake Pukaki"
5032,"NZHK","medium_airport","Hokitika Airfield",-42.7136001586914,170.985000610352,146,"OC","NZ","NZ-WTC","","yes","NZHK","HKK","NZHK","","","https://en.wikipedia.org/wiki/Hokitika_Airport",""
5033,"NZHN","medium_airport","Hamilton International Airport",-37.8666992188,175.332000732,172,"OC","NZ","NZ-WKO","Hamilton","yes","NZHN","HLZ","NZHN","","http://www.hamiltonairport.co.nz/","https://en.wikipedia.org/wiki/Hamilton_International_Airport",""
30547,"NZKE","small_airport","Waiheke Island Aerodrome",-36.808899,175.085999,226,"OC","NZ","NZ-AUK","Waiheke Island","no","NZKE","WIK","NZKE","","","https://en.wikipedia.org/wiki/Waiheke_Island_Aerodrome","Carsons, Reeve"
30001,"NZKI","small_airport","Kaikoura Airport",-42.424999,173.604996,20,"OC","NZ","NZ-CAN","","no","NZKI","KBZ","NZKI","","","https://en.wikipedia.org/wiki/Kaikoura_Airport",""
5036,"NZKK","medium_airport","Kerikeri Airport",-35.259148,173.913317,492,"OC","NZ","NZ-NTL","Kerikeri","yes","NZKK","KKE","NZKK","","http://www.kerikeri-airport.co.nz/","https://en.wikipedia.org/wiki/Kerikeri_Airport","Bay of Islands Airport"
30000,"NZKO","small_airport","Kaikohe Airport",-35.451099,173.817001,571,"OC","NZ","NZ-NTL","Kaikohe","no","NZKO","KKO","NZKO","","","https://en.wikipedia.org/wiki/Kaikohe_Aerodrome",""
5037,"NZKT","medium_airport","Kaitaia Airport",-35.069837,173.287053,270,"OC","NZ","NZ-NTL","Awanui","yes","NZKT","KAT","NZKT","","","https://en.wikipedia.org/wiki/Kaitaia_Airport",""
5038,"NZLX","medium_airport","Alexandra Aerodrome",-45.210495,169.371113,752,"OC","NZ","NZ-OTA","Alexandra","no","NZLX","ALR","NZLX","","","https://en.wikipedia.org/wiki/Alexandra_Aerodrome",""
30124,"NZMA","small_airport","Matamata Glider Airport",-37.734402,175.742004,180,"OC","NZ","NZ-WKO","","no","NZMA","MTA","NZMA","","","https://en.wikipedia.org/wiki/Matamata_Airport",""
44818,"NZMB","heliport","Mechanics Bay Heliport",-36.8465256281,174.787872434,5,"OC","NZ","NZ-AUK","Auckland City","no","","MHB","NZMB","","","",""
5039,"NZMC","medium_airport","Mount Cook Airport",-43.764999,170.132996,2153,"OC","NZ","NZ-CAN","","no","NZMC","MON","NZMC","","","https://en.wikipedia.org/wiki/Mount_Cook_Aerodrome",""
30138,"NZMF","small_airport","Milford Sound Airport",-44.673302,167.923004,10,"OC","NZ","NZ-STL","","no","NZMF","MFN","NZMF","","","https://en.wikipedia.org/wiki/Milford_Sound_Airport",""
30166,"NZMK","small_airport","Motueka Airport",-41.123299,172.988998,39,"OC","NZ","NZ-TAS","","no","NZMK","MZP","NZMK","","","https://en.wikipedia.org/wiki/Motueka_Aerodrome",""
5040,"NZMO","medium_airport","Manapouri Airport",-45.5331,167.649994,687,"OC","NZ","NZ-STL","","no","NZMO","TEU","NZMO","","","https://en.wikipedia.org/wiki/Te_Anau_Airport",""
5041,"NZMS","medium_airport","Hood Airport",-40.974634,175.63454,364,"OC","NZ","NZ-WGN","Masterton","no","NZMS","MRO","NZMS","","http://www.svas.org.nz/pages/hood_aerodrome_location.htm","https://en.wikipedia.org/wiki/Hood_Aerodrome",""
5042,"NZNP","medium_airport","New Plymouth Airport",-39.0085983276367,174.179000854492,97,"OC","NZ","NZ-TKI","New Plymouth","yes","NZNP","NPL","NZNP","","","https://en.wikipedia.org/wiki/New_Plymouth_Airport",""
5043,"NZNR","medium_airport","Hawke's Bay Airport",-39.465801,176.869995,6,"OC","NZ","NZ-HKB","Napier","yes","NZNR","NPE","NZNR","","http://www.hawkesbay-airport.co.nz/","https://en.wikipedia.org/wiki/Napier_Airport",""
5044,"NZNS","medium_airport","Nelson Airport",-41.298302,173.220993,17,"OC","NZ","NZ-NSN","Nelson","yes","NZNS","NSN","NZNS","","http://www.nelsonairport.co.nz/","https://en.wikipedia.org/wiki/Nelson_Airport_(New_Zealand)",""
5045,"NZNV","medium_airport","Invercargill Airport",-46.4123992919922,168.313003540039,5,"OC","NZ","NZ-STL","Invercargill","yes","NZNV","IVC","NZNV","","http://www.invercargillairport.co.nz/index.htm","https://en.wikipedia.org/wiki/Invercargill_Airport",""
5046,"NZOH","medium_airport","RNZAF Base Ohakea",-40.2060012817383,175.388000488281,164,"OC","NZ","NZ-MWT","","no","NZOH","OHA","NZOH","","http://www.airforce.mil.nz/about/hqbases/boh.htm","https://en.wikipedia.org/wiki/RNZAF_Base_Ohakea",""
5047,"NZOU","medium_airport","Oamaru Airport",-44.970001,171.082001,99,"OC","NZ","NZ-OTA","","no","NZOU","OAM","NZOU","","","https://en.wikipedia.org/wiki/Oamaru_Aerodrome",""
5049,"NZPM","medium_airport","Palmerston North Airport",-40.320599,175.617004,151,"OC","NZ","NZ-MWT","Palmerston North","yes","NZPM","PMR","NZPM","","http://www.pnairport.co.nz/index.php","https://en.wikipedia.org/wiki/Palmerston_North_International_Airport",""
30267,"NZPN","small_airport","Picton Aerodrome",-41.346099853516,173.95599365234,161,"OC","NZ","NZ-MBH","Koromiko","yes","NZPN","PCN","NZPN","","","https://en.wikipedia.org/wiki/Picton_Aerodrome",""
5050,"NZPP","medium_airport","Paraparaumu Airport",-40.9047012329102,174.988998413086,22,"OC","NZ","NZ-WGN","","no","NZPP","PPQ","NZPP","","","https://en.wikipedia.org/wiki/Paraparaumu_Airport",""
5051,"NZQN","medium_airport","Queenstown International Airport",-45.021099,168.738998,1171,"OC","NZ","NZ-OTA","Queenstown","yes","NZQN","ZQN","NZQN","","https://www.queenstownairport.co.nz/","https://en.wikipedia.org/wiki/Queenstown_International_Airport",""
30315,"NZRA","small_airport","Raglan Aerodrome",-37.804699,174.860001,10,"OC","NZ","NZ-WKO","Raglan","no","NZRA","RAG","NZRA","","","",""
30358,"NZRC","small_airport","Ryan's Creek Aerodrome",-46.8997,168.100998,62,"OC","NZ","NZ-STL","Oban","no","NZRC","SZS","NZRC","","","https://en.wikipedia.org/wiki/Ryan%27s_Creek_Aerodrome","stewart island,rakiura"
5052,"NZRO","medium_airport","Rotorua Regional Airport",-38.1092,176.317001,935,"OC","NZ","NZ-BOP","Rotorua","yes","NZRO","ROT","NZRO","","https://www.rotorua-airport.co.nz/","https://en.wikipedia.org/wiki/Rotorua_Regional_Airport",""
5055,"NZTG","medium_airport","Tauranga Airport",-37.6719017028809,176.195999145508,13,"OC","NZ","NZ-BOP","Tauranga","yes","NZTG","TRG","NZTG","","","https://en.wikipedia.org/wiki/Tauranga_Airport",""
30483,"NZTH","small_airport","Thames Aerodrome",-37.1567,175.550003,10,"OC","NZ","NZ-WKO","","no","NZTH","TMZ","NZTH","","","https://en.wikipedia.org/wiki/Thames_Aerodrome",""
30464,"NZTK","small_airport","Takaka Airport",-40.813301,172.774994,102,"OC","NZ","NZ-TAS","","no","NZTK","KTF","NZTK","","","https://en.wikipedia.org/wiki/T%C4%81kaka_Aerodrome",""
30489,"NZTO","small_airport","Tokoroa Airfield",-38.236698,175.891998,1220,"OC","NZ","NZ-WKO","Tokoroa","no","NZTO","TKZ","NZTO","","","https://en.wikipedia.org/wiki/Tokoroa_Aerodrome",""
30462,"NZTS","small_airport","Taharoa Aerodrome",-38.1810989379883,174.707992553711,69,"OC","NZ","NZ-WKO","Taharoa","no","","THH","NZTS","","","",""
5056,"NZTU","medium_airport","Timaru Airport",-44.3027992248535,171.225006103516,89,"OC","NZ","NZ-CAN","","yes","NZTU","TIU","NZTU","","","https://en.wikipedia.org/wiki/Richard_Pearse_Airport",""
5057,"NZUK","medium_airport","Pukaki Airport",-44.2350006104,170.117996216,1575,"OC","NZ","NZ-CAN","Twitzel","no","NZUK","TWZ","NZUK","","","https://en.wikipedia.org/wiki/Pukaki_Airport",""
5058,"NZWB","medium_airport","Woodbourne Airport",-41.5182991027832,173.869995117188,109,"OC","NZ","NZ-MBH","Blenheim","yes","NZWB","BHE","NZWB","","","https://en.wikipedia.org/wiki/Woodbourne_Airport",""
5060,"NZWF","medium_airport","Wanaka Airport",-44.722954,169.248419,1142,"OC","NZ","NZ-OTA","Wanaka","yes","NZWF","WKA","NZWF","","","https://en.wikipedia.org/wiki/Wanaka_Airport","Luggate Airport"
5062,"NZWK","medium_airport","Whakatane Airport",-37.9206008911133,176.914001464844,20,"OC","NZ","NZ-BOP","","yes","NZWK","WHK","NZWK","","","https://en.wikipedia.org/wiki/Whakatane_Airport",""
5063,"NZWN","large_airport","Wellington International Airport",-41.327202,174.804993,41,"OC","NZ","NZ-WGN","Wellington","yes","NZWN","WLG","NZWN","","http://www.wellingtonairport.co.nz/","https://en.wikipedia.org/wiki/Wellington_Airport",""
5064,"NZWO","medium_airport","Wairoa Airport",-39.012118,177.404395,42,"OC","NZ","NZ-HKB","Wairoa","no","NZWO","WIR","NZWO","","","https://en.wikipedia.org/wiki/Wairoa_Aerodrome",""
5066,"NZWR","medium_airport","Whangarei Airport",-35.769253,174.363713,133,"OC","NZ","NZ-NTL","Whangarei","yes","NZWR","WRE","NZWR","","","https://en.wikipedia.org/wiki/Whangarei_Airport",""
5067,"NZWS","medium_airport","Westport Airport",-41.737111,171.579033,13,"OC","NZ","NZ-WTC","Westport","yes","NZWS","WSZ","NZWS","","","https://en.wikipedia.org/wiki/Westport_Airport_(New_Zealand)",""
30560,"NZWT","small_airport","Whitianga Airport",-36.828731,175.682802,10,"OC","NZ","NZ-WKO","Whitianga","no","NZWT","WTZ","NZWT","","","https://en.wikipedia.org/wiki/Whitianga_Aerodrome",""
5068,"NZWU","medium_airport","Wanganui Airport",-39.9622001647949,175.024993896484,27,"OC","NZ","NZ-MWT","Wanganui","yes","NZWU","WAG","NZWU","","","https://en.wikipedia.org/wiki/Wanganui_Airport",""
